"Layer","Plot","ACI","Linetype","LayerLineweight","Transparency","Description"
"....00________________________________","N","250","CONTINUOUS","0","0","________________________________"
"....01_TNT_A_DRAWING","P","7","CONTINUOUS","0","0","NÉT KHUNG BẢN VẼ"
"....02_TNT_A_VIRTURAL","P","9","CONTINUOUS","0.3","50","NÉT THẤY"
"....03_TNT_A_THIN","P","251","CONTINUOUS","0.15","50","NÉT MẢNH"
"....04_TNT_A_HIDDEN","P","251","HIDDEN","0","50","NÉT KHUẤT"
"....05_TNT_A_SECTION","P","30","CONTINUOUS","0","50","NÉT CẮT"
"....06_TNT_A_SECTION-LINE","P","6","ACAD_ISO07W100","0","0","NÉT TRỤC CẮT"
"....07_TNT_A_BASE","P","177","CENTER","0","0","NÉT TRỤC"
"....08_TNT_A_DETAIL","P","156","HIDDEN","0","50","NÉT CHI TIẾT"
"....09_TNT_A_COMPLETE","P","8","CONTINUOUS","0","50","NÉT HOÀN THIỆN"
"....10_TNT_A_COTE","P","14","CONTINUOUS","0","0","NÉT CAO ĐỘ"
"....11_TNT_A_PLOT","N","250","CONTINUOUS","0","0","NÉT IN"
"....12________________________________","N","250","CONTINUOUS","0","50","________________________________"
"....12_TNT_F_FURNITURE","P","27","CONTINUOUS","0","50","NÉT NỘI THẤT"
"....13_TNT_F_TREE","P","76","CONTINUOUS","0","50","NÉT CÂY"
"....14_TNT_F_GLASS","P","147","CONTINUOUS","0","50","NÉT KÍNH"
"....15_TNT_F_DOOR","P","33","CONTINUOUS","0","50","NÉT CỬA"
"....16________________________________","N","250","CONTINUOUS","0","0","________________________________"
"....16_TNT_S_CONCRETE","P","7","CONTINUOUS","0","50","NÉT BTCT"
"....17_TNT_S_WALL","P","41","CONTINUOUS","0","50","NÉT TƯỜNG"
"....18_TNT_S_COLUMN","P","9","CONTINUOUS","0","50","NÉT CỘT"
"....19________________________________","N","250","CONTINUOUS","0","0","________________________________"
"....20_TNT_N_TEXT","P","9","CONTINUOUS","0","0","NÉT CHỮ"
"....21_TNT_N_LEADER","P","9","CONTINUOUS","0","0","NÉT GHI CHÚ"
"....22_TNT_N_DIMENSION","P","251","CONTINUOUS","0","0","NÉT KÍCH THƯỚC"
"....23_TNT_N_HATCH","P","250","CONTINUOUS","0","50","NÉT VẬT LIỆU"
"....24_TNT_N_ANNOTATE","P","14","CONTINUOUS","0","0","NÉT CHÚ THÍCH"
"....25________________________________","N","250","CONTINUOUS","0","0","________________________________"
"....25_TNT_M_NOTE","P","1","CONTINUOUS","0","0","NÉT THIẾT BỊ ĐHKK"
"....26_TNT_M_TEXT","P","4","CONTINUOUS","0","0","NÉT CHỮ ĐHKK"
"....27_TNT_M_CONTROL","P","5","HIDDEN","0","0","NÉT ĐIỀU KHIỂN ĐHKK"
"....28_TNT_M_COPPER-PIPE","P","3","CONTINUOUS","0","0","NÉT ỐNG ĐỒNG"
"....29_TNT_M_CONDENSED-W","P","6","CONTINUOUS","0","0","NÉT NƯỚC NGƯNG"
"....30_TNT_M_RETURN-DUCT","P","6","CONTINUOUS","0","0","NÉT HỒI ĐHKK"
"....31_TNT_M_SUPPLY-DUCT","P","4","CONTINUOUS","0","0","NÉT CẤP ĐHKK"
"....32________________________________","N","250","CONTINUOUS","0","0","________________________________"
"....32_TNT_E_NOTE","P","1","CONTINUOUS","0","0","NÉT THIẾT BỊ ĐIỆN"
"....33_TNT_E_TEXT","P","2","CONTINUOUS","0","0","NÉT CHỮ PHẦN ĐIỆN"
"....34_TNT_E_LINE","P","4","CONTINUOUS","0","0","NÉT SĐNL ĐIỆN"
"....35_TNT_E_WIRE","P","6","DASHDOT","0","0","NÉT DÂY ĐIỆN"
"....36________________________________","N","250","CONTINUOUS","0","0","________________________________"
"....36_TNT_P_NOTE","P","11","CONTINUOUS","0","0","NÉT THIẾT BỊ NƯỚC"
"....37_TNT_P_TEXT","P","3","CONTINUOUS","0","0","NÉT CHỮ NƯỚC"
"....38_TNT_P_SUPPLY-TANK","P","4","HIDDEN","0","0","NÉT CẤP TÉT"
"....39_TNT_P_SUPPLY-COOL","P","4","CONTINUOUS","0","0","NÉT CẤP LẠNH"
"....40_TNT_P_SUPPLY-HOT","P","1","HIDDEN","0","0","NÉT CẤP NÓNG"
"....41_TNT_P_DRAIN-TOILET","P","4","HIDDEN","0","0","NÉT THOÁT XÍ"
"....42_TNT_P_DRAIN-RAIN","P","5","HIDDEN","0","0","NÉT THOÁT MƯA"
"....43_TNT_P_DRAIN-WASH","P","6","HIDDEN","0","0","NÉT THOÁT RỬA"
"....44_TNT_P_DRAIN-VENT","P","2","HIDDEN","0","0","NÉT THÔNG HƠI"
"....45________________________________","N","250","CONTINUOUS","0","0","________________________________"
